%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
50,26,14,3,0,1,3814.18,205.6994,17.5747,23019.008,3820.4,205.8197,17.6504,23019.07,1,23685.69,-1581.5746,-3276.8259,1155.3459,10.44,-33.87,-20.79,41.09,0,0,0,23019.07,13.187484,78.163879,755.599976,13.187484,78.163879,755.5999756,3614.18,4014.18,204.4,207,16.37,18.77
50,26,14,3,0,1,3818.28,205.7496,17.6,23019.57,3818.28,205.7496,17.6,23019.57,0,0,-1581.1661,-3278.1494,1154.5339,10.44,-33.87,-20.79,41.09,0,0,0,23019.57,13.187484,78.163879,755.599976,13.187484,78.163879,755.5999756,3618.28,4018.28,204.45,207.05,16.4,18.8
50,26,14,3,0,1,3837.5,205.3612,17.1739,23020.141,3836.5,205.9799,17.3216,23020.137,1,19384.4,-1588.5797,-3302.2898,1137.8066,-0.76,-27.27,-17.88,32.62,0,0,0,23020.14,13.187484,78.163879,755.599976,13.187484,78.163879,755.5999756,3637.5,4037.5,204.06,206.66,15.97,18.37
50,26,14,3,0,1,3837.71,205.6843,17.2371,23020.637,3837.71,205.6843,17.2371,23020.637,0,0,-1588.6051,-3303.1951,1137.213,-0.76,-27.27,-17.88,32.62,0,0,0,23020.64,13.187484,78.163879,755.599976,13.187484,78.163879,755.5999756,3637.71,4037.71,204.38,206.98,16.04,18.44
50,26,13,3,0,1,3856.3,205.5114,16.8736,23021.17,3836.5,206.1473,18.0291,23021.188,1,26354.9,-1598.4027,-3303.4866,1152.114,-5.93,-12.28,0.72,13.66,0,0,0,23021.19,13.187484,78.163879,755.590027,13.187484,78.163879,755.5900269,3656.3,4056.3,204.21,206.81,15.67,18.07
50,26,13,3,0,1,3853.08,205.8201,17.4039,23021.688,3848.4,206.0112,17.8396,23021.744,1,33064.97,-1603.7725,-3301.7627,1164.535,-7.26,-8.17,7.22,13.1,0,0,0,23021.74,13.187484,78.163879,755.590027,13.187484,78.163879,755.5900269,3653.08,4053.08,204.52,207.12,16.2,18.6
50,26,13,3,0,1,3857.06,205.9304,17.6294,23022.244,3836.39,206.5663,17.7619,23022.256,1,18900.32,-1619.2445,-3289.3477,1169.1078,-13.71,0.21,7.73,15.74,0,0,0,23022.26,13.187484,78.163879,755.590027,13.187484,78.163879,755.5900269,3657.06,4057.06,204.63,207.23,16.43,18.83
50,26,13,3,0,1,3848.7,206.2221,17.6918,23022.756,3848.7,206.2221,17.6918,23022.756,0,0,-1620.1281,-3289.3337,1169.6061,-13.71,0.21,7.73,15.74,0,0,0,23022.76,13.187484,78.163879,755.590027,13.187484,78.163879,755.5900269,3648.7,4048.7,204.92,207.52,16.49,18.89
50,26,13,3,0,1,3857.06,206.425,17.7788,23023.369,3866.29,205.8553,17.6702,23023.424,1,17313.42,-1623.1052,-3299.8291,1175.9668,-7.5,-5.18,6.81,11.37,0,0,0,23023.42,13.187484,78.163879,755.590027,13.187484,78.163879,755.5800171,3657.06,4057.06,205.12,207.72,16.58,18.98
50,26,13,3,0,1,3865.69,206.226,17.7634,23023.924,3866.32,206.8587,18.1556,23023.988,1,15367.38,-1640.4562,-3292.2698,1189.9586,-14.86,-0.08,12.36,19.33,0,0,0,23023.99,13.187484,78.163879,755.580017,13.187484,78.163879,755.5800171,3665.69,4065.69,204.93,207.53,16.56,18.96
